abnormal adipose tissue morphology|adipose tissue phenotype
increased myeloma incidence|increased hemolymphoid system tumor incidence
increased myeloma incidence|increased classified tumor incidence
delayed skin barrier formation|abnormal skin development
increased ovarian teratoma incidence|increased ovary tumor incidence
increased ovarian teratoma incidence|increased teratoma incidence
parthenogenesis|abnormal female meiosis
ovarian follicular cyst|abnormal ovarian follicle morphology
ovarian follicular cyst|ovary cysts
osteomalacia|abnormal bone mineralization
abnormal platelet dense granule physiology|abnormal platelet physiology
abnormal platelet atp level|abnormal platelet dense granule morphology
decreased platelet atp level|abnormal platelet atp level
increased platelet atp level|abnormal platelet atp level
abnormal axon fasciculation|abnormal neuron differentiation
abnormal chromosome pairing during meiosis|abnormal meiosis
abnormal synaptonemal complex|abnormal meiosis
enhanced contextual conditioning behavior|enhanced conditioning behavior
enhanced contextual conditioning behavior|abnormal contextual conditioning behavior
impaired contextual conditioning behavior|abnormal contextual conditioning behavior
impaired contextual conditioning behavior|impaired conditioning behavior
enhanced cued conditioning behavior|enhanced conditioning behavior
enhanced cued conditioning behavior|abnormal cued conditioning behavior
impaired cued conditioning behavior|impaired conditioning behavior
impaired cued conditioning behavior|abnormal cued conditioning behavior
whorled hair|abnormal coat appearance
abnormal skeletal muscle size|abnormal skeletal muscle mass
skeletal muscle hyperplasia|increased skeletal muscle size
skeletal muscle hypoplasia|decreased skeletal muscle size
skeletal muscle hypertrophy|increased skeletal muscle size
skeletal muscle hypotrophy|decreased skeletal muscle size
abnormal pituitary infundibular stalk morphology|abnormal neurohypophysis morphology
abnormal gallbladder infundibulum morphology|abnormal gallbladder morphology
abnormal uterine tube infundibulum morphology|abnormal oviduct morphology
abnormal magnocellular neurosecretory cell morphology|abnormal neuroendocrine cell morphology
abnormal magnocellular neurosecretory cell morphology|abnormal hypothalamus morphology
absent magnocellular neurosecretory cells|abnormal magnocellular neurosecretory cell morphology
increased skin hamartoma incidence|increased hamartoma incidence
increased skin hamartoma incidence|increased skin tumor incidence
mirror image duplication|abnormal developmental patterning
abnormal urine sulfate level|abnormal urine homeostasis
increased urine sulfate level|abnormal urine sulfate level
abnormal skin exfoliation|abnormal skin physiology
thick epidermis stratum spinosum|abnormal epidermis stratum spinosum morphology
abnormal nicotine-mediated receptor currents|abnormal cns synaptic transmission
enlarged cecum|abnormal cecum morphology
small cecum|abnormal cecum morphology
coiled cecum|abnormal cecum morphology
abnormal cecum development|abnormal cecum morphology
distended cecum|abnormal cecum morphology
cecum inflammation|large intestinal inflammation
ileum inflammation|small intestinal inflammation
enlarged ileum|abnormal ileum morphology
ileum hypertrophy|enlarged ileum
distended ileum|abnormal ileum morphology
rectovaginal fusion|abnormal rectum morphology
rectovaginal fusion|abnormal vagina morphology
rectourethral fusion|abnormal rectum morphology
rectourethral fusion|abnormal urethra morphology
abnormal pancreatic islet cell apoptosis|abnormal pancreas physiology
abnormal pancreatic islet cell apoptosis|abnormal apoptosis
abnormal blood vessel endothelium morphology|abnormal blood vessel morphology
abnormal heart left atrium auricular region morphology|abnormal heart atrium auricular region morphology
abnormal heart left atrium auricular region morphology|abnormal heart left atrium morphology
abnormal heart right atrium auricular region morphology|abnormal heart right atrium morphology
abnormal heart right atrium auricular region morphology|abnormal heart atrium auricular region morphology
abnormal gallbladder epithelium morphology|abnormal gallbladder morphology
abnormal cystic duct morphology|abnormal extrahepatic bile duct morphology
abnormal cystic duct morphology|abnormal gallbladder morphology
abnormal biliary ductule morphology|abnormal intrahepatic bile duct morphology
abnormal common bile duct morphology|abnormal extrahepatic bile duct morphology
abnormal common hepatic duct morphology|abnormal extrahepatic bile duct morphology
abnormal intrahepatic bile duct morphology|abnormal liver morphology
abnormal intrahepatic bile duct morphology|abnormal bile duct morphology
abnormal extrahepatic bile duct morphology|abnormal bile duct morphology
abnormal intralobular bile duct morphology|abnormal liver lobule morphology
abnormal intralobular bile duct morphology|abnormal intrahepatic bile duct morphology
abnormal interlobular bile duct morphology|abnormal intrahepatic bile duct morphology
abnormal interlobular bile duct morphology|abnormal portal triad morphology
abnormal hepatic duct morphology|abnormal bile duct morphology
abnormal areola morphology|abnormal mammary gland morphology
abnormal mammary gland duct morphology|abnormal mammary gland epithelium morphology
abnormal mammary gland epithelium morphology|abnormal mammary gland morphology
abnormal mammary gland lobule morphology|abnormal mammary gland morphology
abnormal mammary gland alveolus morphology|abnormal mammary gland lobule morphology
abnormal mammary gland connective tissue morphology|abnormal mammary gland morphology
increased mammary gland ductal carcinoma incidence|increased carcinoma incidence
increased mammary gland ductal carcinoma incidence|increased mammary gland tumor incidence
absent rectum|abnormal rectum morphology
cecal atresia|abnormal cecum morphology
distended stomach|abnormal stomach morphology
abnormal cerebellar golgi cell morphology|abnormal cerebellar granule layer morphology
titubation|abnormal posture
increased gastrointestinal stromal tumor incidence|increased gastrointestinal tumor incidence
enlarged salivary gland|abnormal salivary gland morphology
abnormal salivary gland duct morphology|abnormal salivary gland morphology
abnormal anterior lingual gland morphology|abnormal minor salivary gland morphology
abnormal anterior buccal gland morphology|abnormal mucosal lining of the mouth
abnormal anterior buccal gland morphology|abnormal minor salivary gland morphology
decreased submandibular gland size|abnormal submandibular gland morphology
increased submandibular gland size|abnormal submandibular gland morphology
submandibular gland hypoplasia|decreased submandibular gland size
submandibular gland hyperplasia|increased submandibular gland size
absent submandibular gland|abnormal submandibular gland morphology
abnormal submandibular duct morphology|abnormal salivary gland duct morphology
abnormal submandibular duct morphology|abnormal submandibular gland morphology
absent sublingual gland|abnormal sublingual gland morphology
abnormal sublingual duct morphology|abnormal sublingual gland morphology
abnormal sublingual duct morphology|abnormal salivary gland duct morphology
abnormal major sublingual duct morphology|abnormal sublingual duct morphology
abnormal minor sublingual duct morphology|abnormal sublingual duct morphology
abnormal parotid main excretory duct morphology|abnormal parotid gland morphology
abnormal parotid main excretory duct morphology|abnormal salivary gland duct morphology
increased parotid gland size|abnormal parotid gland morphology
decreased parotid gland size|abnormal parotid gland morphology
absent palatine gland|abnormal palatine gland morphology
absent anterior lingual gland|abnormal anterior lingual gland morphology
abnormal skin sebaceous gland morphology|abnormal sebaceous gland morphology
abnormal skin sebaceous gland morphology|abnormal dermal layer morphology
abnormal interstitial cell of cajal morphology|abnormal digestive system morphology
interstitial cells of cajal hyperplasia|abnormal interstitial cell of cajal morphology
abnormal synapse morphology|abnormal neuron morphology
abnormal hassall's corpuscle morphology|abnormal thymus epithelium morphology
abnormal hassall's corpuscle morphology|abnormal thymus medulla morphology
absent hassall's corpuscle|abnormal hassall's corpuscle morphology
increased thymocyte apoptosis|abnormal thymocyte apoptosis
increased thymocyte apoptosis|increased t cell apoptosis
decreased thymocyte apoptosis|decreased t cell apoptosis
decreased thymocyte apoptosis|abnormal thymocyte apoptosis
abnormal thymus corticomedullary boundary morphology|abnormal thymus lobule morphology
abnormal thymus epithelium morphology|abnormal thymus morphology
abnormal dermis papillary layer morphology|abnormal dermal layer morphology
absent gastric milk in neonates|aphagia
elliptocytosis|abnormal erythrocyte morphology
abnormal platelet aggregation|abnormal platelet activation
decreased platelet aggregation|abnormal platelet aggregation
increased urinary bladder carcinoma incidence|increased carcinoma incidence
increased urinary bladder carcinoma incidence|increased urinary system tumor incidence
increased urinary bladder transitional cell carcinoma incidence|increased urinary bladder carcinoma incidence
urinary bladder obstruction|abnormal urinary bladder morphology
fused lips|abnormal lip morphology
abnormal hair follicle melanin granule shape|abnormal hair follicle melanin granule morphology
abnormal hair follicle melanin granule distribution|abnormal hair follicle melanin granule morphology
abnormal platelet adp level|abnormal platelet dense granule morphology
decreased platelet adp level|abnormal platelet adp level
increased platelet adp level|abnormal platelet adp level
thymus cortex hyperplasia|enlarged thymus cortex
absent epidermis stratum granulosum|abnormal epidermis stratum granulosum morphology
superior cervical ganglion degeneration|abnormal superior cervical ganglion morphology
